id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_cp,beta_tcc,beta_TNSR,beta_TEM,beta_RH,se_Intercept,se_cp,se_tcc,se_TNSR,se_TEM,se_850RH,t_Intercept,t_cp,t_tcc,t_TNSR,t_TEM,t_RH,p_Intercept,p_cp,p_tcc,p_TNSR,p_TEM,p_RH,sumW_Intercept,sumW_cp,sumW_tcc,sumW_TNSR,sumW_TEM,sumW_RH
0,199340.4683,3628467.899,2.729939385,0.724932696,2.868921563,-0.138982178,0.473394168,-0.198939826,-0.557876587,-0.211075755,-0.761248636,-0.455260067,0.29931126,0.167656918,0.072251389,0.088089104,0.062889387,0.040044903,0.171840604,-1.186588826,-7.721326857,-2.396161908,-12.10456447,-11.36873936,1.741795901,0.235675959,2.82E-14,0.016753457,1.53E-31,3.15E-28,0.081856321,18.61612734,16.46469422,18.61612734,18.61612734,68.20077772,16.46469422
1,425740.4683,3628467.899,1.521089785,0.46403323,1.616089828,-0.095000042,0.825376099,-0.350182036,-0.387298311,-0.124435067,-0.592242174,-0.460926808,0.226384429,0.163167716,0.071793204,0.088230916,0.06037035,0.039560553,0.120473325,-2.146147807,-5.394637521,-1.41033408,-9.810149805,-11.65117189,1.879124944,0.032104953,8.60E-08,0.158756763,9.70E-22,1.76E-29,0.060522509,14.98811221,14.98811221,16.45801094,14.98811221,68.41500443,14.98811221
2,454040.4683,3628467.899,1.594455158,0.665644998,1.634738393,-0.040283236,0.828090601,-0.354450176,-0.394987264,-0.205780367,-0.570107226,-0.460904149,0.229704451,0.160755413,0.072008939,0.079076822,0.06166644,0.039475902,0.123584011,-2.204903513,-5.485253235,-2.602284227,-9.245016079,-11.6755825,1.858690685,0.02769135,5.25E-08,0.00939956,1.42E-19,1.37E-29,0.063369099,15.36980073,13.88905578,15.36980073,15.36980073,65.53877617,13.88905578
3,482340.4683,3628467.899,1.478187664,0.528817509,1.445300376,0.032887288,0.826633376,-0.35595456,-0.400102393,-0.269753153,-0.546342245,-0.461282258,0.240230597,0.157389755,0.071654162,0.078678564,0.064090937,0.039396466,0.127702835,-2.261612012,-5.583798376,-3.428547003,-8.524485264,-11.70872179,1.881168855,0.023938723,3.04E-08,0.000631952,5.71E-17,9.69E-30,0.060243715,15.45541312,13.96006173,15.45541312,15.45541312,63.50427128,13.96006173
4,567240.4683,3628467.899,1.068568486,-0.188296928,1.172237528,-0.103669042,0.883837946,-0.399330932,-0.405434983,-0.251222768,-0.53665517,-0.462979597,0.329066803,0.145044578,0.071060825,0.079803698,0.072796597,0.039141721,0.138287609,-2.753160015,-5.705464081,-3.148009103,-7.371981526,-11.82828926,2.379582706,0.006010858,1.53E-08,0.001693301,3.56E-13,2.80E-30,0.017521833,13.9893014,13.9893014,15.52051107,13.9893014,63.19989205,13.9893014
5,142740.4683,3600167.899,2.421372888,1.196830458,2.605587505,-0.184214618,0.391016855,-0.213535022,-0.533514265,-0.248881435,-0.745609558,-0.454378649,0.310594628,0.166167282,0.069487909,0.088067717,0.063004659,0.040126505,0.175690343,-1.285060568,-7.677799903,-2.826023481,-11.83419711,-11.32365378,1.767852589,0.199073205,3.89E-14,0.004808281,2.63E-30,4.97E-28,0.077395089,21.44905507,19.92449956,21.63477265,21.44905507,63.47385225,19.92449956
6,171040.4683,3600167.899,2.529801191,1.467333815,2.94263641,-0.412835219,0.44003976,-0.204412651,-0.549904088,-0.235495662,-0.752607233,-0.454699923,0.307185411,0.166457493,0.070104432,0.087813097,0.063002643,0.040102925,0.17419868,-1.22801712,-7.844070186,-2.681782913,-11.94564536,-11.33832305,1.763419859,0.2197339,1.13E-14,0.007445597,8.19E-31,4.29E-28,0.078139709,22.10880175,20.18280248,22.7981753,22.10880175,66.08931582,20.18280248
7,199340.4683,3600167.899,2.608320136,1.093132504,2.744047692,-0.135727556,0.514605693,-0.1941028,-0.562944273,-0.215095429,-0.762118459,-0.4551479,0.298547545,0.166996706,0.071199645,0.087633039,0.063003512,0.040077156,0.168890305,-1.162315142,-7.906560128,-2.454501544,-12.09644401,-11.3567914,1.767700899,0.245389016,7.07E-15,0.014280101,1.67E-31,3.56E-28,0.077420474,21.52197813,19.90312767,22.74302664,21.52197813,69.16731873,19.90312767
8,227640.4683,3600167.899,2.63382122,0.769211665,2.615432552,0.018388668,0.609126309,-0.190490069,-0.564330597,-0.177496069,-0.771091125,-0.455695595,0.280019121,0.168051075,0.073037912,0.088354115,0.062875451,0.040049639,0.160390245,-1.133524843,-7.726543431,-2.008916841,-12.2637867,-11.37826965,1.745861296,0.257269726,2.71E-14,0.044818435,2.80E-32,2.86E-28,0.081146826,18.96713101,18.07617477,19.83179319,18.96713101,72.56192784,18.07617477
9,312540.4683,3600167.899,2.189102142,0.210488182,2.088936594,0.100165548,0.820709578,-0.373824609,-0.366343525,-0.079534508,-0.648506975,-0.457709831,0.251559878,0.169965281,0.070413269,0.126772592,0.060704731,0.039926492,0.122671872,-2.199417473,-5.202762634,-0.627379361,-10.68297258,-11.46381289,2.050672857,0.028079993,2.39E-07,0.530555994,2.78E-25,1.20E-28,0.040562988,14.3424029,14.3424029,14.92603855,14.3424029,78.56686524,14.3424029
